Go_Term,Ids
GO:0010628,Nvec_vc1.1_XM_001621656.3
GO:0030154,Nvec_vc1.1_XM_001621656.3
GO:0030324,Nvec_vc1.1_XM_001621656.3
GO:0030334,Nvec_vc1.1_XM_001621656.3
GO:0042060,Nvec_vc1.1_XM_001621656.3
GO:0045944,Nvec_vc1.1_XM_001621656.3
GO:0050679,Nvec_vc1.1_XM_001621656.3
GO:0004721,Nvec_vc1.1_XM_001621716.3
GO:0004722,Nvec_vc1.1_XM_001621716.3
GO:0004725,Nvec_vc1.1_XM_001621716.3
GO:0008138,Nvec_vc1.1_XM_001621716.3
GO:0016787,Nvec_vc1.1_XM_001621716.3
GO:0017018,Nvec_vc1.1_XM_001621716.3
GO:0033549,Nvec_vc1.1_XM_001621716.3
GO:0016311,Nvec_vc1.1_XM_001621716.3
GO:0043409,Nvec_vc1.1_XM_001621716.3
GO:0005113,Nvec_vc1.1_XM_001621781.3
GO:0017147,Nvec_vc1.1_XM_001621781.3
GO:0042813,Nvec_vc1.1_XM_001621781.3
GO:0007224,Nvec_vc1.1_XM_001621781.3
GO:0007389,Nvec_vc1.1_XM_001621781.3
GO:0007417,Nvec_vc1.1_XM_001621781.3
GO:0032502,Nvec_vc1.1_XM_001621781.3
GO:0035567,Nvec_vc1.1_XM_001621781.3
GO:0060070,Nvec_vc1.1_XM_001621781.3
GO:0071679,Nvec_vc1.1_XM_001621781.3
GO:0016740,Nvec_vc1.1_XM_001621797.3
GO:0036054,Nvec_vc1.1_XM_001621797.3
GO:0036055,Nvec_vc1.1_XM_001621797.3
GO:0046872,Nvec_vc1.1_XM_001621797.3
GO:0061697,Nvec_vc1.1_XM_001621797.3
GO:0070403,Nvec_vc1.1_XM_001621797.3
GO:0097372,Nvec_vc1.1_XM_001621797.3
GO:0000122,Nvec_vc1.1_XM_001621797.3
GO:0006338,Nvec_vc1.1_XM_001621797.3
GO:0004721,Nvec_vc1.1_XM_001621809.3
GO:0004722,Nvec_vc1.1_XM_001621809.3
GO:0016787,Nvec_vc1.1_XM_001621809.3
GO:0017018,Nvec_vc1.1_XM_001621809.3
GO:0000082,Nvec_vc1.1_XM_001621809.3
GO:0000278,Nvec_vc1.1_XM_001621809.3
GO:0045505,Nvec_vc1.1_XM_001621847.3
GO:0007018,Nvec_vc1.1_XM_001621847.3
GO:0003727,Nvec_vc1.1_XM_001621847.3
GO:0032197,Nvec_vc1.1_XM_001621847.3
GO:0003841,Nvec_vc1.1_XM_001621892.3
GO:0016740,Nvec_vc1.1_XM_001621892.3
GO:0016746,Nvec_vc1.1_XM_001621892.3
GO:0004364,Nvec_vc1.1_XM_001621902.3
GO:0006749,Nvec_vc1.1_XM_001621902.3
GO:0000981,Nvec_vc1.1_XM_001621919.3
GO:0043565,Nvec_vc1.1_XM_001621919.3
GO:0006357,Nvec_vc1.1_XM_001621919.3
GO:0016740,Nvec_vc1.1_XM_001621928.3
GO:0004467,Nvec_vc1.1_XM_001621929.3
GO:0016874,Nvec_vc1.1_XM_001621929.3
GO:0090433,Nvec_vc1.1_XM_001621929.3
GO:0001676,Nvec_vc1.1_XM_001621929.3
GO:0006631,Nvec_vc1.1_XM_001621929.3
GO:0030182,Nvec_vc1.1_XM_001621929.3
GO:0035336,Nvec_vc1.1_XM_001621929.3
GO:0003924,Nvec_vc1.1_XM_001621930.3
GO:0005525,Nvec_vc1.1_XM_001621930.3
GO:0016192,Nvec_vc1.1_XM_001621930.3
GO:0045717,Nvec_vc1.1_XM_001621986.3
GO:0000166,Nvec_vc1.1_XM_001621991.3
GO:0003824,Nvec_vc1.1_XM_001621991.3
GO:0004638,Nvec_vc1.1_XM_001621991.3
GO:0004639,Nvec_vc1.1_XM_001621991.3
GO:0005524,Nvec_vc1.1_XM_001621991.3
GO:0016831,Nvec_vc1.1_XM_001621991.3
GO:0016874,Nvec_vc1.1_XM_001621991.3
GO:0043727,Nvec_vc1.1_XM_001621991.3
GO:0006164,Nvec_vc1.1_XM_001621991.3
GO:0006189,Nvec_vc1.1_XM_001621991.3
GO:0008152,Nvec_vc1.1_XM_001621991.3
GO:0000166,Nvec_vc1.1_XM_001622045.3
GO:0004672,Nvec_vc1.1_XM_001622045.3
GO:0004674,Nvec_vc1.1_XM_001622045.3
GO:0004693,Nvec_vc1.1_XM_001622045.3
GO:0005524,Nvec_vc1.1_XM_001622045.3
GO:0016301,Nvec_vc1.1_XM_001622045.3
GO:0016740,Nvec_vc1.1_XM_001622045.3
GO:0007346,Nvec_vc1.1_XM_001622045.3
GO:0016310,Nvec_vc1.1_XM_001622045.3
GO:0016409,Nvec_vc1.1_XM_001622159.3
GO:0016740,Nvec_vc1.1_XM_001622159.3
GO:0016746,Nvec_vc1.1_XM_001622159.3
GO:0019706,Nvec_vc1.1_XM_001622159.3
GO:0006612,Nvec_vc1.1_XM_001622159.3
GO:0003723,Nvec_vc1.1_XM_001622175.3
GO:0003735,Nvec_vc1.1_XM_001622175.3
GO:0006412,Nvec_vc1.1_XM_001622175.3
GO:0003676,Nvec_vc1.1_XM_001622225.3
GO:0003723,Nvec_vc1.1_XM_001622225.3
GO:0000398,Nvec_vc1.1_XM_001622225.3
GO:0005245,Nvec_vc1.1_XM_001622226.3
GO:0070588,Nvec_vc1.1_XM_001622226.3
GO:0003824,Nvec_vc1.1_XM_001622226.3
GO:0016491,Nvec_vc1.1_XM_001622226.3
GO:0016615,Nvec_vc1.1_XM_001622226.3
GO:0016616,Nvec_vc1.1_XM_001622226.3
GO:0030060,Nvec_vc1.1_XM_001622226.3
GO:0006099,Nvec_vc1.1_XM_001622226.3
GO:0006108,Nvec_vc1.1_XM_001622226.3
GO:0019752,Nvec_vc1.1_XM_001622226.3
GO:0016538,Nvec_vc1.1_XM_001622235.3
GO:0000082,Nvec_vc1.1_XM_001622235.3
GO:0007049,Nvec_vc1.1_XM_001622235.3
GO:0044772,Nvec_vc1.1_XM_001622235.3
GO:0051301,Nvec_vc1.1_XM_001622235.3
GO:1900087,Nvec_vc1.1_XM_001622235.3
GO:0004222,Nvec_vc1.1_XM_001622244.3
GO:0008233,Nvec_vc1.1_XM_001622244.3
GO:0008237,Nvec_vc1.1_XM_001622244.3
GO:0008270,Nvec_vc1.1_XM_001622244.3
GO:0016787,Nvec_vc1.1_XM_001622244.3
GO:0046872,Nvec_vc1.1_XM_001622244.3
GO:0006508,Nvec_vc1.1_XM_001622244.3
GO:0003993,Nvec_vc1.1_XM_001622251.3
GO:0016791,Nvec_vc1.1_XM_001622251.3
GO:0005216,Nvec_vc1.1_XM_001622253.3
GO:0015276,Nvec_vc1.1_XM_001622253.3
GO:0015277,Nvec_vc1.1_XM_001622253.3
GO:0038023,Nvec_vc1.1_XM_001622253.3
GO:1904315,Nvec_vc1.1_XM_001622253.3
GO:0006811,Nvec_vc1.1_XM_001622253.3
GO:0034220,Nvec_vc1.1_XM_001622253.3
GO:0035249,Nvec_vc1.1_XM_001622253.3
GO:0050804,Nvec_vc1.1_XM_001622253.3
GO:0000976,Nvec_vc1.1_XM_001622270.3
GO:0045944,Nvec_vc1.1_XM_001622270.3
GO:0000976,Nvec_vc1.1_XM_001622271.3
GO:0000978,Nvec_vc1.1_XM_001622271.3
GO:0000981,Nvec_vc1.1_XM_001622271.3
GO:0003700,Nvec_vc1.1_XM_001622271.3
GO:0002376,Nvec_vc1.1_XM_001622271.3
GO:0006355,Nvec_vc1.1_XM_001622271.3
GO:0003824,Nvec_vc1.1_XM_001622273.3
GO:0004301,Nvec_vc1.1_XM_001622273.3
GO:0016787,Nvec_vc1.1_XM_001622273.3
GO:0016803,Nvec_vc1.1_XM_001622273.3
GO:0033961,Nvec_vc1.1_XM_001622273.3
GO:0097176,Nvec_vc1.1_XM_001622273.3
GO:0009922,Nvec_vc1.1_XM_001622279.3
GO:0016740,Nvec_vc1.1_XM_001622279.3
GO:0006629,Nvec_vc1.1_XM_001622279.3
GO:0006631,Nvec_vc1.1_XM_001622279.3
GO:0006633,Nvec_vc1.1_XM_001622279.3
GO:0019367,Nvec_vc1.1_XM_001622279.3
GO:0030148,Nvec_vc1.1_XM_001622279.3
