"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Nvec_vc1.1_XM_032374184.2"	637.916978787955	2.06270736074073	0.25008938481101	8.24788050200329	1.61228469853325e-16	3.09854364988858e-15
"Nvec_vc1.1_XM_032386189.2"	31.7096947502656	2.12857017328414	0.35403994524942	6.01223167567877	1.82986554416145e-09	1.69185677728036e-08
"Nvec_vc1.1_XM_032386121.2"	120.381426056171	2.218997876366	0.225173197102188	9.85462703786617	6.54592667966429e-23	2.1498972624778e-21
"Nvec_vc1.1_XM_032386211.2"	215.354403480024	2.07276587856797	0.250615972746959	8.27068544693593	1.33191026647259e-16	2.5851100695682e-15
"Nvec_vc1.1_XM_001636343.3"	260.442597937803	2.89778819337282	0.337544581537763	8.58490508178586	9.09114580064424e-18	1.96368749293916e-16
"Nvec_vc1.1_XM_048732530.1"	1310.4325685066	1.47487425047492	0.183486394946067	8.03805781299718	9.1273567947926e-16	1.62137224031815e-14
"Nvec_vc1.1_XM_032386176.2"	23.7793327280668	1.06835592818251	0.451884486963216	2.3642235106634	0.0180679083031211	0.0472260516359531
"Nvec_vc1.1_XM_032386159.2"	41.45721094797	2.00487962405835	0.415995727237961	4.81947167431241	1.43938886695328e-06	8.8877592472275e-06
"Nvec_vc1.1_XM_001636352.3"	18.9678404942906	1.29620254463596	0.366651783088319	3.53524135002973	0.000407402868440063	0.00165786409986567
"Nvec_vc1.1_XM_032386154.2"	511.514476397521	3.1008672335941	0.322295342898911	9.62119776756034	6.50689938064598e-22	1.96142905302897e-20
"Nvec_vc1.1_XM_032386151.2"	1269.42791740338	2.52165478413062	0.28880695353913	8.7312814086693	2.5180329756943e-18	5.71230058042815e-17
"Nvec_vc1.1_XM_001636356.3"	475.964973920602	3.30543181554726	0.45389246197607	7.28241178793034	3.27904350625268e-13	4.59588231561085e-12
"Nvec_vc1.1_XM_048727253.1"	69.9971261455118	2.82654718374924	0.403197070176192	7.01033661408818	2.377454304043e-12	3.07288587139302e-11
"Nvec_vc1.1_XM_048729129.1"	17.6162300158729	3.51531009769014	0.624068490692165	5.63289150168638	1.77212955554473e-08	1.46188231939126e-07
"Nvec_vc1.1_XM_032384859.2"	73.2381638175311	1.60775671639566	0.227975451102356	7.05232387356393	1.75954060801148e-12	2.28935350062336e-11
"Nvec_v1g241660"	22.5594259962432	1.12328893308353	0.38328344975434	2.93070033105652	0.00338198852711598	0.0109744748444884
"Nvec_vc1.1_XM_032374636.2"	136.973700833971	2.81843446752608	0.270500637787953	10.4193265146216	2.02381194456609e-25	7.84739768108841e-24
"Nvec_vc1.1_XM_048729618.1"	282.165183815638	2.52455540892724	0.225703465361517	11.1852753562448	4.81408765546607e-29	2.30918798601702e-27
